"Timestamp","LogicBlockID","BytesAnalyzed","ResonanceScore","GateResolutionTimeMs","ArchitecturalState"
"2026-09-02 10:15:15.537","GENE_GATE_1","16777216","7.2373","22.6955","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.549","GENE_GATE_2","16777216","7.7539","6.073099999999999","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.573","GENE_GATE_3","16777216","8.0195","11.9739","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.583","GENE_GATE_4","16777216","7.9248","5.9727","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.598","GENE_GATE_5","16777216","7.3945","12.187999999999999","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.608","GENE_GATE_6","16777216","7.4766","5.5975","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.615","GENE_GATE_7","16777216","7.5908","3.6378","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.620","GENE_GATE_8","16777216","7.2461","0.985","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.624","GENE_GATE_9","16777216","7.6035","1.002","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.628","GENE_GATE_10","16777216","7.6025","0.9896","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.639","GENE_GATE_11","16777216","7.4932","6.8875","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.643","GENE_GATE_12","16777216","7.5957","1.0134","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.648","GENE_GATE_13","16777216","7.6445","0.9878","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.652","GENE_GATE_14","16777216","7.6328","0.9859000000000001","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.657","GENE_GATE_15","16777216","7.1611","0.9974999999999999","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.666","GENE_GATE_16","16777216","7.459","5.6885","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.670","GENE_GATE_17","16777216","7.3125","0.9882999999999998","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.675","GENE_GATE_18","16777216","6.7119","1.0356","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.679","GENE_GATE_19","16777216","7.7334","0.9936999999999999","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.683","GENE_GATE_20","16777216","7.8203","0.9989","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.693","GENE_GATE_21","16777216","7.4131","5.9831","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.697","GENE_GATE_22","16777216","7.4766","0.9882000000000001","ISOMORPHIC_LOCKED"
"2026-09-02 10:15:15.701","GENE_GATE_23","16777216","7.2969","0.9840000000000001","ISOMORPHIC_LOCKED"
